IDPROV,NombreProv,Censo1996,Vot1996,Parti1996,VBlan1996,PP_1996,PSOE_1996,IU_1996,CIU_1996,EAJPN_1996,OTROS1996,Censo2000,Vot2000,Parti2000,VBlan2000,PP_2000,PSOE_2000,IU_2000,CIU_2000,EAJPN_2000,OTROS2000,Censo2004,Vot2004,Parti2004,VBlan2004,PSOE_2004,PP_2004,IU_2004,CIU_2004,ERC_2004,OTROS2004,Censo2008,Vot2008,Parti2008,VBlan2008,PSOE2008,PP_2008,IU_2008,CIU_2008,EAJPN_2008,OTROS2008,Censo2011,Vot2011,Partici2011,VBlan2011,PP_2011,PSOE_2011,IU_2011,UPYD_2011,CIU_2011,OTROS2011,Censo2016,Vot2016,Particip,VBlan2016,PP_2016,PSOE_2016,PODEM_2016,Cs_2016,UPC2015,Otros2016
12,Castellón / Castelló                              ,373239,304430,81.06,2559,46.47,39.99,7.60,0.00,0.00,5.94,387823,285816,73.08,3751,53.79,35.35,3.80,0.00,0.00,7.06,401559,314877,77.74,5025,44.60,45.64,3.31,0.00,0.71,5.75,411081,319958,77.26,3416,44.18,48.98,2.09,0.00,0.00,4.76,414561,301548,71.53,4146,52.84,29.56,5.29,4.05,0.00,8.25,416491,299204,71.84,2069,35.68,22.08,24.16,14.75,3.11,3.34
13,Ciudad Real                                       ,384357,316228,81.75,2632,45.03,45.22,8.18,0.00,0.00,1.57,393419,294122,74.17,3655,51.69,42.56,3.72,0.00,0.00,2.03,393160,308897,77.84,4721,48.12,46.57,2.80,0.00,0.00,2.51,398343,312853,77.95,3243,46.77,47.78,2.62,0.00,0.00,2.83,404764,302605,73.71,4016,55.23,31.97,5.40,4.39,0.00,3.01,400552,279396,69.75,1939,43.53,29.25,13.43,11.86,3.32,1.94
14,Córdoba                                           ,603879,497080,81.85,3415,33.01,44.64,18.57,0.00,0.00,3.78,621971,465051,74.23,6001,40.86,40.55,11.94,0.00,0.00,6.66,633155,497087,78.02,8256,49.86,33.74,9.70,0.00,0.00,6.70,643313,487681,75.35,5460,50.85,37.61,7.04,0.00,0.00,4.50,652086,473847,71.87,6490,44.61,36.35,9.83,3.84,0.00,5.36,651184,446818,68.62,4489,34.41,31.17,19.04,12.36,8.07,3.02
15,A Coruña                                          ,978619,693197,70.43,6736,47.29,33.85,4.30,0.00,0.00,14.56,1033965,660041,63.39,9741,51.94,24.76,1.42,0.00,0.00,21.87,1053738,743936,70.10,13347,38.90,44.59,1.91,0.00,0.00,14.60,1068433,747463,69.47,8783,41.01,42.67,1.57,0.00,0.00,14.75,1085232,676837,61.40,12173,51.52,27.32,4.59,1.32,0.00,15.25,1087472,643389,59.16,6693,40.08,21.76,23.09,9.38,0.00,5.70
16,Cuenca                                            ,169288,140760,82.58,1235,50.21,42.39,5.61,0.00,0.00,1.79,167521,131748,77.97,1670,53.35,41.16,2.93,0.00,0.00,2.56,165576,134862,80.78,2091,45.38,49.73,2.44,0.00,0.00,2.46,164387,134004,80.90,1259,45.20,49.84,2.38,0.00,0.00,2.58,163500,126945,76.51,1737,55.91,33.01,4.77,3.57,0.00,2.74,157835,115849,73.40,823,45.75,29.72,13.17,9.38,2.99,1.97
17,Girona                                            ,429526,330832,76.67,1739,12.01,36.47,3.35,41.43,0.00,6.73,457288,297048,64.52,4007,15.93,28.38,1.57,41.05,0.00,13.07,472443,359194,75.70,2672,31.62,11.45,4.21,27.10,23.34,2.27,489572,336617,68.20,5714,39.53,12.20,3.21,27.21,0.00,17.85,499909,312056,61.26,5572,16.20,21.44,5.48,0.59,39.23,17.05,512366,307853,60.08,2642,10.08,12.52,17.31,7.71,0.00,52.37
18,Granada                                           ,652251,513224,78.31,3749,38.38,46.49,11.98,0.00,0.00,3.15,694968,483731,69.10,5994,42.66,44.36,7.25,0.00,0.00,5.73,694304,525722,75.24,8276,51.47,37.04,5.98,0.00,0.00,5.52,717387,533089,73.92,4600,49.96,41.08,5.02,0.00,0.00,3.93,735201,514034,69.20,5294,46.74,36.53,7.93,5.16,0.00,3.64,748579,489540,65.40,3424,35.28,30.94,17.77,13.48,5.11,2.53
19,Guadalajara                                       ,128352,104222,80.63,1380,51.87,34.93,10.71,0.00,0.00,2.49,137523,103784,74.74,1895,54.38,36.06,5.84,0.00,0.00,3.72,151106,121104,79.39,2544,44.11,47.58,4.43,0.00,0.00,3.89,168486,134588,79.29,1396,40.97,50.65,3.29,0.00,0.00,5.09,179570,134351,73.59,1776,54.00,27.69,6.84,7.53,0.00,3.95,182408,131538,72.11,822,39.57,23.02,18.16,16.41,4.13,2.84
20,Gipuzkoa                                          ,571516,397562,69.12,7998,14.34,22.69,7.25,0.00,19.74,35.97,584618,326666,55.39,11634,24.61,23.70,4.67,0.00,27.73,19.30,581818,422121,64.07,5509,26.31,15.26,7.69,0.00,0.00,50.73,576501,330773,56.86,7513,39.00,14.60,4.82,0.00,23.76,17.82,575334,377119,65.00,4239,13.73,20.98,3.37,1.53,0.00,60.38,580706,365493,62.94,2711,9.66,14.08,28.61,3.20,0.00,44.46
21,Huelva                                            ,355047,267390,74.67,1758,33.90,52.15,10.21,0.00,0.00,3.74,371361,247343,66.10,2858,40.16,46.88,6.41,0.00,0.00,6.55,378428,277028,72.70,4009,56.19,30.59,5.49,0.00,0.00,7.73,386672,270335,69.45,2603,55.67,35.00,4.92,0.00,0.00,4.41,392755,266788,67.09,3412,43.89,40.54,7.03,3.43,0.00,5.10,396117,245819,62.06,2526,33.34,35.84,16.28,11.67,4.48,2.87
